file_name,ChartID,Source,Source_document_URL,Sourced_Website_URL,Filename,Chart_type,Num_charts
rbi_1.png,1,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_1,multi,2
rbi_2.png,2,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_2,multi,2
rbi_3.png,3,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_3,single,1
rbi_4.png,4,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_4,single,1
rbi_5.png,5,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_6,single,1
rbi_6.png,6,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_7,multi,2
rbi_7.png,7,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_9,multi,2
rbi_8.png,8,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_10,multi,2
rbi_9.png,9,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_11,multi,2
rbi_10.png,10,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_13,single,1
rbi_11.png,11,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_14,multi,2
rbi_12.png,12,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_15,multi,2
rbi_13.png,13,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_16,multi,2
rbi_14.png,14,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_17,single,1
rbi_15.png,15,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_18,single,1
rbi_19.png,19,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_19,multi,2
rbi_20.png,20,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_20,multi,4
rbi_21.png,21,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_21,single,1
rbi_22.png,22,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_22,single,1
rbi_23.png,23,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_23,single,1
rbi_24.png,24,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_24,multi,2
rbi_25.png,25,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_25,multi,3
rbi_26.png,26,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_26,multi,2
rbi_27.png,27,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_27,multi,2
rbi_28.png,28,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_28,single,1
rbi_29.png,29,RBI,FSRHIN30122024_FL.pdf,https://website.rbi.org.in/hi/web/rbi/-/publications/reports/financial-stability-report-december-2024,rbi_29,multi,3
rbi_143.png,143,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_143,single,1
rbi_144.png,144,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_144,single,1
rbi_145.png,145,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_145,multi,2
rbi_146.png,146,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_146,single,1
rbi_147.png,147,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_147,single,1
rbi_148.png,148,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_148,single,1
rbi_149.png,149,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_149,multi,2
rbi_150.png,150,RBI,6OperationsandPerformanceofCommercialBanksHindi.pdf,https://website.rbi.org.in/web/rbi/-/publications/operations-and-performance-of-commercial-banks-1?journalArticle=123042556,rbi_150,single,1
